din_instante;id_subsistema_origem;nom_subsistema_origem;id_subsistema_destino;nom_subsistema_destino;val_intercambiomwmed
2022-01-04 09:00:00;N;NORTE;SE;SUDESTE;10161.98699999
2022-01-04 09:00:00;NE;NORDESTE;SE;SUDESTE;1727.677
2022-01-04 09:00:00;SE;SUDESTE;S;SUL;6783.541
2022-01-04 10:00:00;N;NORTE;NE;NORDESTE;1788.274
2022-01-04 10:00:00;N;NORTE;SE;SUDESTE;10188.717
2022-01-04 10:00:00;NE;NORDESTE;SE;SUDESTE;1558.329
2022-01-04 10:00:00;SE;SUDESTE;S;SUL;6435.734
2022-01-04 11:00:00;N;NORTE;NE;NORDESTE;1927.392
2022-01-04 11:00:00;N;NORTE;SE;SUDESTE;10488.26399999
2022-01-04 11:00:00;NE;NORDESTE;SE;SUDESTE;1573.57
2022-01-04 11:00:00;SE;SUDESTE;S;SUL;7351.08
2022-01-04 12:00:00;N;NORTE;NE;NORDESTE;1633.571
2022-01-04 12:00:00;N;NORTE;SE;SUDESTE;10389.454
2022-01-04 12:00:00;NE;NORDESTE;SE;SUDESTE;1602.536
2022-01-04 12:00:00;SE;SUDESTE;S;SUL;7511.229
2022-01-04 13:00:00;N;NORTE;NE;NORDESTE;1526.894
2022-01-04 13:00:00;N;NORTE;SE;SUDESTE;10446.065
2022-01-04 13:00:00;NE;NORDESTE;SE;SUDESTE;1714.092
2022-01-04 13:00:00;SE;SUDESTE;S;SUL;7532.002
2022-01-04 14:00:00;N;NORTE;NE;NORDESTE;1728.188
2022-01-04 14:00:00;N;NORTE;SE;SUDESTE;10423.40699999
2022-01-04 14:00:00;NE;NORDESTE;SE;SUDESTE;1570.13
2022-01-04 14:00:00;SE;SUDESTE;S;SUL;6823.845
2022-01-04 15:00:00;N;NORTE;NE;NORDESTE;1605.425
2022-01-04 15:00:00;N;NORTE;SE;SUDESTE;10441.601
2022-01-04 15:00:00;NE;NORDESTE;SE;SUDESTE;1707.481
2022-01-04 15:00:00;SE;SUDESTE;S;SUL;6396.289
2022-01-04 16:00:00;N;NORTE;NE;NORDESTE;1255.395
2022-01-04 16:00:00;N;NORTE;SE;SUDESTE;10476.803
2022-01-04 16:00:00;NE;NORDESTE;SE;SUDESTE;1861.886
2022-01-04 16:00:00;SE;SUDESTE;S;SUL;6679.153
2022-01-04 17:00:00;N;NORTE;NE;NORDESTE;1011.148
2022-01-04 17:00:00;N;NORTE;SE;SUDESTE;10604.843
2022-01-04 17:00:00;NE;NORDESTE;SE;SUDESTE;2044.822
2022-01-04 17:00:00;SE;SUDESTE;S;SUL;8185.608
2022-01-04 18:00:00;N;NORTE;NE;NORDESTE;1182.36999999
2022-01-04 18:00:00;N;NORTE;SE;SUDESTE;10574.199
2022-01-04 18:00:00;NE;NORDESTE;SE;SUDESTE;2056.071
2022-01-04 18:00:00;SE;SUDESTE;S;SUL;8378.266
2022-01-04 19:00:00;N;NORTE;NE;NORDESTE;1351.626
2022-01-04 19:00:00;N;NORTE;SE;SUDESTE;10532.205
2022-01-04 19:00:00;NE;NORDESTE;SE;SUDESTE;2066.582
2022-01-04 19:00:00;SE;SUDESTE;S;SUL;7323.657
2022-01-04 20:00:00;N;NORTE;NE;NORDESTE;1314.101
2022-01-04 20:00:00;N;NORTE;SE;SUDESTE;10537.292
2022-01-04 20:00:00;NE;NORDESTE;SE;SUDESTE;2217.414
2022-01-04 20:00:00;SE;SUDESTE;S;SUL;7411.811
2022-01-04 21:00:00;N;NORTE;NE;NORDESTE;1694.485
2022-01-04 21:00:00;N;NORTE;SE;SUDESTE;10219.607
2022-01-04 21:00:00;NE;NORDESTE;SE;SUDESTE;1831.52
2022-01-04 21:00:00;SE;SUDESTE;S;SUL;6932.627
2022-01-04 22:00:00;N;NORTE;NE;NORDESTE;1737.671
2022-01-04 22:00:00;N;NORTE;SE;SUDESTE;10152.992
2022-01-04 22:00:00;NE;NORDESTE;SE;SUDESTE;1844.477
2022-01-04 22:00:00;SE;SUDESTE;S;SUL;7819.981
2022-01-04 23:00:00;N;NORTE;NE;NORDESTE;1654.973
2022-01-04 23:00:00;N;NORTE;SE;SUDESTE;10180.367
2022-01-04 23:00:00;NE;NORDESTE;SE;SUDESTE;1946.45
2022-01-04 23:00:00;SE;SUDESTE;S;SUL;7201.375
2022-01-05 00:00:00;N;NORTE;NE;NORDESTE;1324.563
